Prediction,F1,Precision,Recall
True_val,0.5,0.5,0.5
RandomRandom,0.12440216484276279,0.12093177960269762,0.12817476865642002
LogisticLogistic,0.09096754457027288,0.5434442270058708,0.19089816910917828
IsolationForestIsolationForest,0.20312600344763482,0.11610008577137643,0.9058813892529489
KNNKNN,0.10414109263841534,0.1735471296952516,0.1326080265300449
MLPMLP,0.21952974597201969,0.13178411456521621,0.736442074744827
AnomalyAnomaly,0.1720380684850033,0.21769637115296278,0.19767713173676477
LikelihoodLikelihood,0.2829540452630436,0.31213041743925585,0.3987896659915009
