Prediction,F1,Precision,Recall
True_val,0.08333333333333333,0.08333333333333333,0.08333333333333333
RandomRandomRandomRandomRandomRandomRandomRandomRandomRandomRandomRandom,0.10021067613681998,0.09931426813674953,0.10124600948679995
LogisticLogisticLogisticLogisticLogisticLogisticLogisticLogisticLogisticLogisticLogisticLogistic,0.1322500527042007,0.3299945525370636,0.1500223784367924
IsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForest,0.1777932741778343,0.10130218361177823,0.784743821745633
KNNKNNKNNKNNKNNKNNKNNKNNKNNKNNKNNKNN,0.2077952982155777,0.2531774291938125,0.2417945556246044
MLPMLPMLPMLPMLPMLPMLPMLPMLPMLPMLPMLP,0.2473857966606318,0.16387295226758822,0.6740808183196835
AnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomaly,0.19941375639474368,0.15696464080927205,0.40989736132788585
LikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihood,0.2708309316085645,0.2698953456024575,0.4094369714103334
