Method,True_val,Random,Logistic,IsolationForest,KNN,MLP,Anomaly,Likelihood
True_val,0.5,-0.0007860804419609346,0.0,0.0002552580183666775,-0.0008873442679637744,0.0020594474953224418,0.022490145075730272,0.05246876997189798
RandomRandom,0.008999816501095326,1.0,0.0,0.00851680553110401,-0.006742085914600571,0.024892152558388503,0.030607800728728096,0.023977946456364863
LogisticLogistic,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
IsolationForestIsolationForest,0.017180148742275025,0.00851680553110401,0.0,1.0,-0.1702735904549348,-0.15816483024033517,0.02444636678270845,-0.0016144190832223515
KNNKNN,0.017388262012033417,-0.006742085914600571,0.0,-0.1702735904549348,1.0,0.14964998698467907,0.053123914120942695,0.04830477739789063
MLPMLP,0.0401959985401647,0.024892152558388503,0.0,-0.15816483024033517,0.14964998698467907,1.0,0.24861299626239275,0.2458337411731515
AnomalyAnomaly,0.08190004916964044,0.030607800728728096,0.0,0.02444636678270845,0.053123914120942695,0.24861299626239275,1.0,0.7040664316990705
LikelihoodLikelihood,0.19087947786862552,0.023977946456364863,0.0,-0.0016144190832223515,0.04830477739789063,0.2458337411731515,0.7040664316990705,1.0
