Prediction,F1,Precision,Recall
True_val,0.5,0.5,0.5
RandomRandom,0.2956140247887633,0.29229027734367435,0.2992305729944023
LogisticLogistic,0.3837235076471892,0.4318713385571148,0.44861787568944944
IsolationForestIsolationForest,0.43871363384003315,0.2885671537716894,0.9419641940809247
KNNKNN,0.42358087189619803,0.47417431722385817,0.42833134916562327
MLPMLP,0.44476789279510687,0.29204864974233696,0.977098257353394
AnomalyAnomaly,0.49256704358982595,0.41790615211270854,0.6222825210463503
LikelihoodLikelihood,0.4769621519428791,0.49637608428172314,0.6028214278383617
