Method,True_val,Random,Logistic,IsolationForest,KNN,MLP,Anomaly,Likelihood
True_val,0.5,-0.0007860804419609346,0.014018281780072639,-0.005906052982512455,0.01978954972186686,0.008005607779589696,0.022490145075730272,0.05246876997189798
RandomRandom,0.008999816501095326,1.0,-0.0026840211807697134,0.0004600269459282824,0.009010732551713696,0.008607828238111459,0.030607800728728096,0.023977946456364863
LogisticLogistic,0.031821582353184774,-0.0026840211807697134,1.0,0.015988332040727693,0.26208148594843217,0.1886071370209122,0.019290550563658082,-0.024863158264099405
IsolationForestIsolationForest,0.005907592491320446,0.0004600269459282824,0.015988332040727693,1.0,0.010214963046036418,0.14536701614998637,0.011739712469993835,0.01700882969402645
KNNKNN,0.03417785103258908,0.009010732551713696,0.26208148594843217,0.010214963046036418,1.0,0.1004665152335874,0.04101772127683323,0.038097558299406364
MLPMLP,0.03831327156463599,0.008607828238111459,0.1886071370209122,0.14536701614998637,0.1004665152335874,1.0,0.05404479689533165,0.09569318847397934
AnomalyAnomaly,0.08190004916964044,0.030607800728728096,0.019290550563658082,0.011739712469993835,0.04101772127683323,0.05404479689533165,1.0,0.7040664316990705
LikelihoodLikelihood,0.19087947786862552,0.023977946456364863,-0.024863158264099405,0.01700882969402645,0.038097558299406364,0.09569318847397934,0.7040664316990705,1.0
