Method,True_val,Random,Logistic,IsolationForest,KNN,MLP,Anomaly,Likelihood
True_val,0.08333333333333333,-0.0001310134069934891,0.001836799557243085,-0.000984342163752076,0.0032861933553453107,0.0013656669950933193,0.003748357512621712,0.00874479499531633
RandomRandomRandomRandomRandomRandomRandomRandomRandomRandomRandomRandom,-0.0005250910216562191,1.0,-0.002276816023928189,-0.0008559160245777501,-0.0016547948969928006,8.768594286473474e-05,0.0016687086966646336,-0.002380972532595569
LogisticLogisticLogisticLogisticLogisticLogisticLogisticLogisticLogisticLogisticLogisticLogistic,0.07205895728294297,-0.002276816023928189,1.0,0.020061824285680124,0.23521452110802887,0.1441003637043664,0.05107497053718774,0.07142718623062222
IsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForestIsolationForest,0.00325310906368508,-0.0008559160245777501,0.020061824285680124,1.0,-0.0414121822176538,0.012128965600020062,-0.14471792309172246,-0.04838744091842126
KNNKNNKNNKNNKNNKNNKNNKNNKNNKNNKNNKNN,0.13055781600735125,-0.0016547948969928006,0.23521452110802887,-0.0414121822176538,1.0,0.21297059145745553,0.10056193312800071,0.12907904673667484
MLPMLPMLPMLPMLPMLPMLPMLPMLPMLPMLPMLP,0.11327895632791711,8.768594286473474e-05,0.1441003637043664,0.012128965600020062,0.21297059145745553,1.0,0.10070109279316321,0.13731907403355406
AnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomalyAnomaly,0.07931754057232292,0.0016687086966646336,0.05107497053718774,-0.14471792309172246,0.10056193312800071,0.10070109279316321,1.0,0.5735668561188577
LikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihoodLikelihood,0.17497480630819962,-0.002380972532595569,0.07142718623062222,-0.04838744091842126,0.12907904673667484,0.13731907403355406,0.5735668561188577,1.0
