Prediction,F1,Precision,Recall
True_val,0.5,0.5,0.5
RandomRandom,0.12440216484276279,0.12093177960269762,0.12817476865642002
LogisticLogistic,0.0,0.0,0.0
IsolationForestIsolationForest,0.2059421318054805,0.12137078788938349,0.6885549465824695
KNNKNN,0.07671383603343795,0.368555790960452,0.12018696135668613
MLPMLP,0.17713653548278865,0.14668013862869203,0.4541532626395012
AnomalyAnomaly,0.1720380684850033,0.21769637115296278,0.19767713173676477
LikelihoodLikelihood,0.2829540452630436,0.31213041743925585,0.3987896659915009
