Method,True_val,Random,Logistic,IsolationForest,KNN,MLP,Anomaly,Likelihood
True_val,0.5,-0.0007860804419609346,0.013155520828220413,-0.005906052982512455,0.018454628501827053,0.007552468108442012,0.022490145075730272,0.05246876997189798
RandomRandom,0.008999816501095326,1.0,-0.0032250171925097826,0.0004600269459282824,0.0070232641970427445,0.013181805539470126,0.030607800728728096,0.023977946456364863
LogisticLogistic,0.030958821401332548,-0.0032250171925097826,1.0,0.015166948831807803,0.2594423743448106,0.13121831099477393,0.02536394682927373,-0.015883099840431292
IsolationForestIsolationForest,0.005907592491320446,0.0004600269459282824,0.015166948831807803,1.0,0.010271417856062892,0.12749199292850227,0.011739712469993835,0.01700882969402645
KNNKNN,0.03826462505402756,0.0070232641970427445,0.2594423743448106,0.010271417856062892,1.0,0.1019750275936262,0.048139944937999835,0.04172890939756335
MLPMLP,0.10388665330614755,0.013181805539470126,0.13121831099477393,0.12749199292850227,0.1019750275936262,1.0,0.18830805384086374,0.23222031053456904
AnomalyAnomaly,0.08190004916964044,0.030607800728728096,0.02536394682927373,0.011739712469993835,0.048139944937999835,0.18830805384086374,1.0,0.7040664316990705
LikelihoodLikelihood,0.19087947786862552,0.023977946456364863,-0.015883099840431292,0.01700882969402645,0.04172890939756335,0.23222031053456904,0.7040664316990705,1.0
