Prediction,F1,Precision,Recall
True_val,0.5,0.5,0.5
RandomRandom,0.14037632288952734,0.1362095531587057,0.14490052959180164
LogisticLogistic,1.0,1.0,1.0
IsolationForestIsolationForest,0.21738673469681508,0.12595212135800896,0.8968671549915747
KNNKNN,0.20814020000394484,0.4053696622052263,0.20816783589531965
MLPMLP,0.2705229527084555,0.1646273464732074,0.8685606451391038
AnomalyAnomaly,0.1710353572436668,0.22588902513795217,0.19633154510127585
LikelihoodLikelihood,0.2797617814910254,0.3220294219498617,0.38462679253069226
