Prediction,F1,Precision,Recall
True_val,0.5,0.5,0.5
RandomRandom,0.12440216484276279,0.12093177960269762,0.12817476865642002
LogisticLogistic,0.09017426588037579,0.5429748822605965,0.18846310417411336
IsolationForestIsolationForest,0.20312600344763482,0.11610008577137643,0.9058813892529489
KNNKNN,0.11013880735987691,0.1847662657189721,0.135571805869971
MLPMLP,0.24008875064082544,0.18680592858556444,0.6121147583303547
AnomalyAnomaly,0.1720380684850033,0.21769637115296278,0.19767713173676477
LikelihoodLikelihood,0.2829540452630436,0.31213041743925585,0.3987896659915009
