Prediction,F1,Precision,Recall
True_val,0.5,0.5,0.5
RandomRandom,0.12440216484276279,0.12093177960269762,0.12817476865642002
LogisticLogistic,0.0,0.0,0.0
IsolationForestIsolationForest,0.1902342473337024,0.11254515045950014,0.6316771913102188
KNNKNN,0.17922182833479736,0.292226628479107,0.2167232614480321
MLPMLP,0.1982772173457356,0.1538576351297058,0.5117657571786012
AnomalyAnomaly,0.1720380684850033,0.21769637115296278,0.19767713173676477
LikelihoodLikelihood,0.2829540452630436,0.31213041743925585,0.3987896659915009
